nombre,nombre-href,descorta,desclarga,precio,foto-src
"Canon EOS 100D - Cámara réflex digital de 18 Mp (pantalla 3"", estabilizador), color negro - kit con objetivo 18...",https://www.amazon.es/Canon-EOS-100D-estabilizador-importado/dp/B00BYPW04E/ref=lp_930862031_1_14?s=electronics&ie=UTF8&qid=1487175056&sr=1-14,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Peso (incluyendo batería): 407 g
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Peso (incluyendo batería): 407 g
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->","<h4 class=""a-spacing-mini"">
        Características detalladas
    </h4>

                













     
 
     


    




                










     
    

 




    <p class=""a-spacing-base"">
        Querrás llevar tu cámara réflex digital a todas partes
    </p>

    <p class=""a-spacing-base"">
        La cámara EOS 100D es una eficaz y completa cámara reflex digital que dispone de un tamaño lo suficientemente compacto como para llevarla allá donde vayas. La cámara perfecta para documentar tu estilo de vida. Consigue fotos de 18 megapíxeles y vídeos Full-HD allá donde vayas y disfruta de un rendimiento alto incluso con poca luz: la sensibilidad ISO máxima de 12 800 (ampliable a ISO 25 600) te permite obtener imágenes llenas de esencia con un bajo nivel de ruido.
    </p>

    <p class=""a-spacing-base"">
        Uso divertido y sencillo
    </p>

    <p class=""a-spacing-base"">
        Realiza composiciones de fotografías con el eficaz y luminoso visor óptico, o utiliza la pantalla táctil LCD Clear View II de 7,7 cm (3,0”) de 1 040 000 puntos y formato 3:2 para controlar la cámara. Navega por los menús, vuelve a ver tus fotos e incluso enfoca y fotografía con solo tocar, deslizar y pellizcar la pantalla.
    </p>

    <p class=""a-spacing-base"">
        Funcionamiento sencillo, resultados fantásticos
    </p>

    <p class=""a-spacing-base"">
        La tecnología del Modo de Escenas Automático Inteligente de Canon analiza cada escena y establece los ajustes más adecuados de la cámara automáticamente. Y, a medida que avances en el mundo de la fotografía, la Guía de funciones integrada te mostrará cómo sacarle el máximo partido a tu cámara.
    </p>

    <p class=""a-spacing-base"">
        Graba vídeos Full HD
    </p>

    <p class=""a-spacing-base"">
        Graba vídeos de alta calidad con una resolución máxima Full-HD (1080p). Toma el control de la exposición, el enfoque, el sonido y mucho más, o utiliza el modo Video Snapshot para captar secuencias de vídeo editadas en la videocámara. El sensor AF CMOS Híbrido II proporciona un enfoque continuo cuando haces fotografías, perfecto para mantener enfocados los motivos en movimiento.
    </p>

    <p class=""a-spacing-base"">
        Captura la acción
    </p>

    <p class=""a-spacing-base"">
        Realiza un seguimiento de los sujetos en movimiento a 4 fps y sácale el máximo rendimiento a los nueve puntos AF para enfocar de forma ágil y precisa, incluso cuando los motivos no estén centrados.
    </p>

    <p class=""a-spacing-base"">
        Deja volar tu creatividad
    </p>

    <p class=""a-spacing-base"">
        Expresa tu lado creativo con uno de los Filtros Creativos de la cámara EOS 100D. El Disparo con Efecto Extra permite captar una misma imagen con filtros o sin ellos de forma simultánea. Elige entre efectos como Blanco y negro granulado, Cámara de Juguete, Miniatura y muchos más, y realiza una vista preliminar de cada filtro antes de hacer la foto.
    </p>

    <p class=""a-spacing-base"">
        Un modo para cada fotografía
    </p>

    <p class=""a-spacing-base"">
        Los modos de escena temáticos eligen automáticamente los ajustes más adecuados para el motivo que se va a fotografiar. Elige entre Retrato, Paisaje, Deportes, Niños, Comida y muchos más. Y cuando estés preparado, continúa con el modo Creative Auto para obtener un mayor control en factores como los fondos difuminados a través de una interfaz intuitiva.
    </p>

    <p class=""a-spacing-base"">
        Bienvenido al Sistema EOS
    </p>

    <p class=""a-spacing-base"">
        Aprovecha la amplia gama de objetivos, accesorios y flashes que conforman el Sistema EOS.
    </p>","EUR 448,31",https://images-na.ssl-images-amazon.com/images/I/81o4MBfro4L._SX355_.jpg
"Nikon D750 - Cámara réflex digital de 24.3 Mp (pantalla 3.2"", vídeo Full HD), color negro - Solo cuerpo",https://www.amazon.es/Nikon-D750-C%C3%A1mara-digital-pantalla/dp/B00NINZLKK/ref=lp_930862031_1_7?s=electronics&ie=UTF8&qid=1487175056&sr=1-7,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Sensor de formato FX de 24.3 Mp
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Pantalla abatible de 3.2 pulgadas
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Grabación de vídeo 1080p full hd
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Wi-Fi integrada
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Velocidad de ráfaga de hasta 6,5 fps
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Procesador de imágen EXPEED 4
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->","<h5 class=""a-spacing-mini a-color-secondary"">
        Picture control 2.0
    </h5>

                










     
    

 




    <p class=""a-spacing-base"">
        Capture imágenes estáticas y vídeos con un control total de la nitidez, el contraste, el brillo, el tono y la saturación. La postproducción resulta muy sencilla gracias a la opción Plano, que permite obtener el máximo rango dinámico; los detalles se pueden ajustar con precisión gracias a la opción Claridad. La configuración puede ajustarse visualmente a medida que se dispara. También puede guardar distintas opciones para los vídeos y las fotografías en un menú específico para optimizar el proceso de disparo.
    </p>




                













     
 
     


    




    <h5 class=""a-spacing-mini a-color-secondary"">
        Pantalla de color ajustable
    </h5>

                










     
    

 




    <p class=""a-spacing-base"">
        Ajuste el balance de color y el brillo en cualquier dirección para que se adapte a sus preferencias de flujo de trabajo personales. La pantalla LCD abatible RGBW antirreflectante de 8 cm (3,2 pulgadas) y 1 229 000 puntos permite un funcionamiento flexible y sencillo en cualquier situación.
    </p>




                













     
 
     


    




    <h5 class=""a-spacing-mini a-color-secondary"">
        Diseño de ahorro de energía
    </h5>

                










     
    

 




    <p class=""a-spacing-base"">
        Dispare más tiempo con una sola carga. Capture hasta 1230 imágenes estáticas y hasta 55 minutos de metraje de vídeo² con una sola carga de la batería recargable de iones de litio EN-EL15, ultracompacta y ligera.
    </p>","EUR 1.755,09",https://images-na.ssl-images-amazon.com/images/I/81NhrHPAjkL._SX355_.jpg
"Nikon D5500- Cámara réflex digital de 24.2 Mp (pantalla 3.2"", estabilizador óptico, grabación de vídeo Full HD...",https://www.amazon.es/Nikon-digital-pantalla-estabilizador-grabaci%C3%B3n/dp/B01B5UZ4NG/ref=lp_930862031_1_21?s=electronics&ie=UTF8&qid=1487175056&sr=1-21,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Sensor de imagen CMOS retroiluminado de 24.2 Mp en formato DX
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Pantalla TFT LCD de 7.5 cm (3 pulgadas)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Lente 18-55mm con estabilización de imagen VR
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Grabación de vídeo en Full HD (1080p)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Kit con objetivo AF-P 18-55mm VR
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 730,99",https://images-na.ssl-images-amazon.com/images/I/818odlsDknL._SX355_.jpg
"Canon EOS 700D - Cámara réflex digital de 18 Mp (pantalla 3"", estabilizador), color negro - kit con objetivo EF-S...",https://www.amazon.es/Canon-EOS-700D-estabilizador-Importado/dp/B00BYPW00I/ref=lp_930862031_1_13?s=electronics&ie=UTF8&qid=1487175056&sr=1-13,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Sensor de 18 MP con tamaño 22,3 x 14,9 mm y tecnología CMOS
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Kit con objetivo 18 -55 mm
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Pantalla de 3 pulgadas
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Estabilizador de imagen digital
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Grabación de vídeo 1080p
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 525,00",https://images-na.ssl-images-amazon.com/images/I/91FBF9VxHlL._SX355_.jpg
"Canon EOS 6D - Cámara réflex digital de 20.2 Mp (pantalla 3.2"", vídeo Full HD, GPS), color negro - Solo cuerpo",https://www.amazon.es/Canon-EOS-6D-digital-pantalla/dp/B00AAULJLE/ref=lp_930862031_1_9?s=electronics&ie=UTF8&qid=1487175056&sr=1-9,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Sensor de formato completo (full frame) de 20.2 megapíxeles
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Construcción ligera y resistente
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Sensibilidad ISO máxima 25.600 (ampliable a 102.400 ISO)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							AF de 11 puntos con sensibilidad hasta -3 EV
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Vídeo Full-HD
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Peso del producto: 680 g
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 1.399,00",https://images-na.ssl-images-amazon.com/images/I/81NLFBSMJIL._SX355_.jpg
"Cajuela remoto, PIXEL T9 / DC2 LCD Multifunción Disparador Remoto Desbloqueo Del Adaptador De Controlador De Temporizador...",https://www.amazon.es/Multifunci%C3%B3n-Disparador-Desbloqueo-Controlador-Temporizador/dp/B01IH5D7QI/ref=lp_930862031_1_19?s=electronics&ie=UTF8&qid=1487175056&sr=1-19,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Compatible con Nikon: Nikon D3100 D3200 D3300 D5000 D5100 D5200 D5300 D5500 D90 D7000 D7100 D7200 D600 D610 D750 Df, Nikon 1 V3. Coolpix: P7700 P7800 Coolpix Aa
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Sistema de control inalámbrico de 2,4 GHz FSK: Cuenta con direccionalidad, de 80 millones de distancia remota y ultra-poderoso anti-interferencias causadas por otros dispositivos similares. El uso de la tecnología de transmisión 2.4G internacional, que es la respuesta estable y rápido de obturador.
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Bajo consumo de la pantalla LCD: Se utiliza el panel LCD de bajo consumo para reducir su consumo de energía y alargar el tiempo de trabajo en gran medida. Tanto del canal de comunicación transmisor y el receptor adoptan visualización de la pantalla LCD, que permite a toda la información que se mostrará en la pantalla. Así que es fácil y clara de manejar.
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Estilo estética y buena mano-siente: El mando a distancia se integra diseño estético para ofrecerle la más cómoda mano-siente a través de medición de la relación mano de retención. El tamaño es adecuado para la mayor parte de la mano de los fotógrafos, por lo que es mucho más práctico. Con un diseño anti-caída de alta calidad similar a la piel, que le ofrece un mejor recurso táctil.
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 29,99",https://images-na.ssl-images-amazon.com/images/I/61owmoC6QjL._SY355_.jpg
"Canon EOS 1300D + EF-S 18-55 IS II - Cámara digital (18 MP, CMOS 5184 x 3456 pixeles), negro",https://www.amazon.es/Canon-EOS-1300D-EF-S-18-55/dp/B01CQPABLE/ref=lp_930862031_1_12?s=electronics&ie=UTF8&qid=1487175056&sr=1-12,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Pantalla IPS de 5 pulgadas con una resolución de 720 x 1280 píxeles
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Procesador Mali-T720 a 1.3 GHz Cortex-A7
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Cámara trasera de de 8 MP y cámara frontal de 5 MP
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Batería Li-po con una capacidad de 2500 mAh
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->
                
                 	
               
               
			
			
		

		

		
			
			<div class=""a-section"">
			    <span class=""caretnext"">›</span>
			    <a id=""seeMoreDetailsLink"" class=""a-link-normal"" href=""#productDetails"">Ver más detalles</a>
			</div>",null,"EUR 390,00",https://images-na.ssl-images-amazon.com/images/I/81LFMrgSq0L._SY355_.jpg
"Canon EOS 700D EF-S 18-55 IS STM - Cámara réflex digital de 18.0 MP (pantalla táctil de 3.0"", objetivo(s) 18-55mm...",https://www.amazon.es/Canon-700D-EF-S-18-55-estabilizador/dp/B00BY4VKUA/ref=lp_930862031_1_3?s=electronics&ie=UTF8&qid=1487175056&sr=1-3,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Cámara digital EOS 700D, lente zoom EF-S18-55 mm / f 3.5-5.6 IS STM, correa ancha, cargador de batería LC-E8E, paquete de baterías, cable de interfaz, software (CD-ROM)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Dimensiones del producto: 7,9 x 13,3 x 10 cm y peso de 581 gramos
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Crea imágenes de alta calidad con bajo nivel de ruido y llenas de detalles
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Consigue fotos de 18 megapíxeles y vídeos Full-HD desde la misma cámara
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Descubre ángulos de disparo diferentes gracias a la pantalla táctil LCD Clear View II de ángulo variable
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->","<h5 class=""a-spacing-mini a-color-secondary"">
        Enfoque con capacidad de respuesta
    </h5>

                










     
    

 




    <p class=""a-spacing-base"">
        Comienza a grabar de forma rápida y sencilla con el modo de Escenas Automático Inteligente y amplía tus horizontes con los modos de disparo creativos.
    </p>

    <p class=""a-spacing-base"">
        Graba imágenes con bajo nivel de ruido utilizando un rango de sensibilidad de 100 a 12.800 ISO (ampliable a 25.600 ISO).
    </p>




                













     
 
     


    




    <h5 class=""a-spacing-mini a-color-secondary"">
        Elaboración de proyectos en vídeo Full HD
    </h5>

                










     
    

 




    <p class=""a-spacing-base"">
        Graba vídeos con una resolución de 1080p, disfrutando del nivel de control automático o manual adecuado para ti. La cámara EOS 700D admite el silencioso Servo AF en vídeo con los objetivos STM compatibles. Graba sonido estéreo con el micrófono incorporado o un micrófono externo.
    </p>","EUR 519,00",https://images-na.ssl-images-amazon.com/images/I/91OoS3cPlHL._SX355_.jpg
"Canon EOS 6D - Cámara réflex digital de 20.2 Mp (pantalla 3.2"", estabilizador óptico, vídeo Full HD, GPS), color...",https://www.amazon.es/Canon-EOS-6D-pantalla-estabilizador/dp/B00TU8EVV2/ref=lp_930862031_1_20?s=electronics&ie=UTF8&qid=1487175056&sr=1-20,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Sensor de formato completo (full frame) de 20.2 megapíxeles
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Construcción ligera y resistente
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Sensibilidad ISO máxima 25.600 (ampliable a 102.400 ISO).
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							AF de 11 puntos con sensibilidad hasta -3 EV
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							El GPS registra la ubicación
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Transferencia de archivos y control remoto por Wi-Fi
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Vídeo Full-HD
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 1.569,00",https://images-na.ssl-images-amazon.com/images/I/41OYpKN5cHL._SX355_.jpg
"Canon EOS 1300D - Cámaras réflex de 18 MP (pantalla de 3"", DIGIC 4+, enfoque TTL-CT-SIR con un sensor CMOS, sistema...",https://www.amazon.es/Canon-EOS-1300D-TTL-CT-SIR-metalizado/dp/B01MG97A0B/ref=lp_930862031_1_8?s=electronics&ie=UTF8&qid=1487175056&sr=1-8,"<ul class=""a-vertical a-spacing-none"">
					
						



<div id=""hsx-rpp-bullet-fits-message"" class=""aok-hidden"">
    <div class=""a-box a-alert-inline a-alert-inline-success hsx-rpp-fitment-bullets""><div class=""a-box-inner a-alert-container""><i class=""a-icon a-icon-alert""></i><div class=""a-alert-content"">
        Es adecuado para su &nbsp;<span class=""hsx-rpp-bullet-model-info""></span>.
    </div></div></div>
</div>



<li id=""replacementPartsFitmentBullet"" data-doesntfitmessage=""No se ha encontrado información de esta pieza para "" data-fitsmessage=""Es adecuado para su "" class=""aok-hidden""><span class=""a-list-item"">
        <span id=""replacementPartsFitmentBulletInner""> <a class=""a-link-normal hsx-rpp-fitment-focus"" href=""#"">Haz clic aquí </a>
                <span>para comprobar si este product es compatible con tu modelo</span>
        </span>
</span></li>

<script type=""text/javascript"">
    P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); })
</script>

					
					
						<li><span class=""a-list-item""> 
							Capta imágenes detalladas y originales con cualquier iluminación gracias al sensor de 18,0 megapíxeles, DIGIC 4+ e ISO 100-6.400, y crea atractivos fondos desenfocados
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							La conexión Wi-Fi con NFC hace que sea muy fácil conectar con tu dispositivo inteligente, captar imágenes de forma remota y, después, compartir o hacer copias de seguridad de tus creaciones
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Graba magníficos vídeos Full HD y crea un montaje de clips con la función Instantánea de vídeo (Video Snapshot)
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Disfruta de una gran calidad sin esfuerzo con el modo Escena Inteligente Automática
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							usa los Filtros Creativos, el visor óptico y el enfoque automático rápido con grabación a 3 fps
							
						</span></li>
					
						<li><span class=""a-list-item""> 
							Da tus primeros pasos en la fotografía réflex digital: incorpora objetivos y accesorios a medida que crezca tu confianza
							
						</span></li>
					
				</ul>
				<!--  Loading EDP related metadata -->",null,"EUR 359,00",https://images-na.ssl-images-amazon.com/images/I/41oxMF5pQ8L._SX355_.jpg
